City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
213,Constitucion,-35.3333,-72.4167,55.71,85,5,9.55,clear sky,CL
214,Ancud,-41.8697,-73.8203,48.99,100,90,3.44,fog,CL
215,Rawson,-43.3002,-65.1023,66.2,52,98,3.74,overcast clouds,AR
216,Mirnyy,62.5353,113.9611,28.44,76,38,5.61,scattered clouds,RU
217,Dingle,10.9995,122.6711,87.1,62,85,7.72,overcast clouds,PH
218,Kikwit,-5.041,18.8162,68.63,96,99,3.02,overcast clouds,CD
219,Russell,32.3502,-85.1999,69.8,64,90,9.22,overcast clouds,US
220,Cairns,-16.9167,145.7667,84.99,58,75,14.97,broken clouds,AU
221,Nicoya,10.1483,-85.452,84.2,61,40,14.97,scattered clouds,CR
222,Fukue,32.6881,128.8419,59.0,47,75,11.5,broken clouds,JP
223,Calama,-22.4667,-68.9333,60.8,23,0,10.36,clear sky,CL
224,Asau,46.4333,26.4,39.0,67,100,4.0,overcast clouds,RO
225,Roma,43.2128,-75.4557,55.4,47,20,12.66,few clouds,US
226,Taloqan,36.7361,69.5345,62.4,63,100,2.42,moderate rain,AF
227,Nara,34.6851,135.8049,57.99,38,0,8.05,clear sky,JP
228,Flinders,-34.5833,150.8552,75.0,44,0,4.0,clear sky,AU
229,Ostrovnoy,68.0531,39.5131,26.85,84,79,27.92,broken clouds,RU
230,Lazaro Cardenas,17.9583,-102.2,75.52,74,0,5.75,clear sky,MX
231,Sechura,-5.5569,-80.8222,73.09,68,79,14.83,broken clouds,PE
232,Esperance,-33.8667,121.9,60.8,100,40,11.5,scattered clouds,AU
233,Estelle,29.8458,-90.1067,68.0,100,90,8.05,overcast clouds,US
234,Half Moon Bay,37.4636,-122.4286,64.4,71,1,5.75,haze,US
235,Clyde River,70.4692,-68.5914,-7.6,77,1,16.11,clear sky,CA
236,Mount Gambier,-37.8333,140.7667,59.0,77,75,18.41,broken clouds,AU
237,Cukai,4.25,103.4167,78.8,89,20,2.3,few clouds,MY
238,Aljezur,37.3191,-8.8033,59.83,89,69,10.2,broken clouds,PT
239,Ayr,55.4627,-4.6339,35.6,87,17,3.44,few clouds,GB
240,Mahebourg,-20.4081,57.7,77.0,94,75,6.91,light rain,MU
241,Grand Gaube,-20.0064,57.6608,75.99,88,96,3.0,light rain,MU
242,Hithadhoo,-0.6,73.0833,82.06,63,31,2.48,scattered clouds,MV
243,Ambulu,-8.345,113.6058,83.21,69,17,1.1,few clouds,ID
244,Melilla,35.2937,-2.9383,57.2,88,90,8.05,overcast clouds,ES
245,Lewiston,44.1003,-70.2148,42.01,87,1,5.75,clear sky,US
246,Winnetka,42.1081,-87.7359,43.0,56,90,9.22,overcast clouds,US
247,Malakal,9.5334,31.6605,81.07,12,0,5.39,clear sky,SS
248,Cherskiy,68.75,161.3,18.84,63,1,4.68,clear sky,RU
249,Straumen,63.8709,11.2999,41.0,93,20,4.61,few clouds,NO
250,Olafsvik,64.8945,-23.7142,41.67,95,85,15.68,overcast clouds,IS
251,Meulaboh,4.1363,96.1285,81.18,77,81,2.93,broken clouds,ID
252,Rabaul,-4.1967,152.1721,82.67,70,52,4.03,broken clouds,PG
253,Kavaratti,10.5669,72.642,83.77,68,1,2.21,clear sky,IN
254,Poum,-20.2333,164.0167,78.1,82,99,11.41,overcast clouds,NC
255,Mahanje,-9.9333,35.3333,64.42,95,100,0.36,overcast clouds,TZ
256,Sao Filipe,14.8961,-24.4956,76.33,57,38,11.48,scattered clouds,CV
257,Mahibadhoo,3.7833,72.9667,83.03,68,70,9.4,broken clouds,MV
258,Sisimiut,66.9395,-53.6735,7.59,87,40,19.06,scattered clouds,GL
259,Namatanai,-3.6667,152.4333,85.35,65,25,4.32,scattered clouds,PG
260,Port Macquarie,-31.4333,152.9167,82.0,35,16,1.99,few clouds,AU
261,Lydenburg,-25.0978,30.4597,51.01,41,41,2.04,scattered clouds,ZA
262,Broome,42.2506,-75.833,53.6,76,90,4.61,overcast clouds,US
263,Gazli,40.1333,63.45,58.26,56,0,4.61,clear sky,UZ
264,Bandarbeyla,9.4942,50.8122,79.75,75,100,4.56,overcast clouds,SO
265,Carnarvon,-24.8667,113.6333,80.31,42,0,19.33,clear sky,AU
266,Kailua,21.4022,-157.7394,82.4,57,20,12.66,few clouds,US
267,General Roca,-39.0333,-67.5833,55.4,71,0,9.24,clear sky,AR
268,Ponta Delgada,37.7333,-25.6667,57.2,88,20,5.75,few clouds,PT
269,Mackay,-21.15,149.2,82.0,65,47,13.8,scattered clouds,AU
270,Cape Canaveral,28.4058,-80.6048,73.4,78,1,9.22,clear sky,US
271,Nurota,40.5614,65.6886,46.4,76,0,2.3,clear sky,UZ
272,Dauphin,51.1494,-100.0502,30.2,74,90,2.3,overcast clouds,CA
273,Norman Wells,65.282,-126.8329,50.0,37,75,12.66,broken clouds,CA
274,Husavik,66.0449,-17.3389,39.2,81,0,11.5,clear sky,IS
275,Fort Dodge,42.4975,-94.168,42.8,61,75,9.22,broken clouds,US
276,Vaijapur,19.9167,74.7333,66.2,82,40,9.13,haze,IN
277,Ichinohe,40.2069,141.3017,50.04,36,99,13.24,overcast clouds,JP
278,Kurayoshi,35.4333,133.8167,53.6,58,75,5.75,broken clouds,JP
279,Dunedin,-45.8742,170.5036,60.01,71,48,10.0,scattered clouds,NZ
280,Tuktoyaktuk,69.4541,-133.0374,28.4,86,90,5.75,overcast clouds,CA
281,Pevek,69.7008,170.3133,7.07,71,16,4.65,few clouds,RU
282,Luderitz,-26.6481,15.1594,75.56,28,0,6.62,clear sky,NA
283,Abha,18.2164,42.5053,64.4,59,0,4.07,clear sky,SA
284,Hachinohe,40.5,141.5,48.99,39,100,8.99,overcast clouds,JP
285,Tiksi,71.6872,128.8694,13.17,90,54,2.35,broken clouds,RU
286,Haines Junction,60.7522,-137.5108,48.2,34,43,6.91,scattered clouds,CA
287,Anadyr,64.75,177.4833,10.4,67,0,4.47,clear sky,RU
288,Pangai,-19.8,-174.35,82.4,65,40,6.91,scattered clouds,TO
289,Thompson,55.7435,-97.8558,37.4,23,40,2.3,scattered clouds,CA
290,College,64.8569,-147.8028,48.2,40,75,4.47,broken clouds,US
291,Kimbe,-5.5502,150.1429,88.79,55,84,1.07,broken clouds,PG
292,Kirakira,-10.4544,161.9205,84.92,74,100,5.95,overcast clouds,SB
293,Bad Salzungen,50.8167,10.2333,34.0,90,17,2.17,few clouds,DE
294,Quelimane,-17.8786,36.8883,72.57,77,81,3.27,broken clouds,MZ
295,Shenjiamen,29.9576,122.298,53.44,77,100,7.92,overcast clouds,CN
296,Nikolskoye,59.7035,30.7861,37.4,60,0,4.47,clear sky,RU
297,Usinsk,65.9939,57.5281,29.97,89,100,18.88,overcast clouds,RU
298,Adrar,20.5022,-10.0711,73.78,20,20,11.5,few clouds,MR
299,Djibo,14.1022,-1.6306,86.05,23,23,11.34,few clouds,BF
300,Port Lincoln,-34.7333,135.8667,67.08,48,18,11.21,few clouds,AU
301,Brae,60.3964,-1.353,42.8,93,40,2.3,scattered clouds,GB
302,Nuuk,64.1835,-51.7216,23.0,93,90,24.16,mist,GL
303,Champerico,14.3,-91.9167,86.0,66,40,4.61,scattered clouds,GT
304,Askino,56.0901,56.5783,42.66,88,47,6.78,scattered clouds,RU
305,Bethel,41.3712,-73.414,64.4,52,90,5.75,overcast clouds,US
306,Kampot,10.6167,104.1833,82.4,83,0,4.61,clear sky,KH
307,Dogondoutchi,13.6393,4.0287,81.64,7,100,4.88,overcast clouds,NE
308,Camocim,-2.9022,-40.8411,76.53,91,95,9.71,overcast clouds,BR
309,Chokurdakh,70.6333,147.9167,7.2,82,77,6.53,broken clouds,RU
310,Wanning,18.8003,110.3967,81.68,69,93,8.52,overcast clouds,CN
311,Kungalv,57.871,11.9805,35.01,76,28,4.14,scattered clouds,SE
312,Nome,64.5011,-165.4064,34.0,75,40,5.75,scattered clouds,US
313,Emba,48.8264,58.1442,47.46,57,1,11.14,clear sky,KZ
314,Nyurba,63.2842,118.3319,28.35,87,56,2.46,broken clouds,RU
315,Adelaide,-34.9333,138.6,66.99,59,40,12.66,scattered clouds,AU
316,Boca Do Acre,-8.7522,-67.3978,72.41,98,100,1.59,overcast clouds,BR
317,Verrettes,19.05,-72.4667,80.6,65,4,3.44,clear sky,HT
318,Safaga,26.7292,33.9365,66.2,26,0,5.75,clear sky,EG
319,Kavieng,-2.5744,150.7967,84.43,67,92,6.51,overcast clouds,PG
320,Cabo San Lucas,22.8909,-109.9124,84.2,37,1,5.75,clear sky,MX
321,Mount Isa,-20.7333,139.5,89.6,29,0,10.36,clear sky,AU
