City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
105,Murshidabad,IN,89.06,broken clouds,24.1833,88.2667,Hotel Raymond
109,Shangqiu,CN,66.0,clear sky,34.45,115.65,Thank Inn Chain Hotel henan shangqiu railway station ticket shop
110,Dossor,KZ,57.16,few clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
114,Hasaki,JP,55.0,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
116,Rondonopolis,BR,74.37,scattered clouds,-16.4708,-54.6356,Serras Hotel
118,Soyo,AO,78.96,overcast clouds,-6.1349,12.3689,Hotel Mpampa
119,Baoying,CN,57.49,overcast clouds,33.2292,119.3092,GreenTree Alliance Yangzhou Baoying Town Huaijiang Street East Taishan Road Hotel
120,Chifeng,CN,63.88,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
121,Formosa,AR,75.2,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
122,Cape Town,ZA,62.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
124,Grand-Lahou,CI,80.85,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
126,Cap Malheureux,MU,75.99,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
128,Padang,ID,80.56,overcast clouds,-0.9492,100.3543,Mercure Padang
129,Constantine,DZ,51.8,broken clouds,36.365,6.6147,Grand Hotel Cirta
130,Clarence Town,AU,75.99,clear sky,-32.5833,151.7833,River Downs Cottage
131,Tura,IN,82.87,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
132,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
133,Arraial Do Cabo,BR,74.19,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
135,Puerto Ayora,EC,76.24,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
136,Limon,CR,80.6,broken clouds,10.0,-83.0333,Hotel Playa Bonita
142,Bredasdorp,ZA,50.0,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
143,Lebu,CL,54.86,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
